id,service_id,taxonomy_id,taxonomy_detail
22704,8263,PS-9800,
22716,8265,TD-1600.6000,
22721,8266,TD-1600.1800,
22722,651,LJ-2000.1000-150,
22723,8233,PH-1450.7000,
22725,4276,HH-0500.2500-250,
22730,7405,TN-5000.1900,
22732,1101,LR-3100.1800-050,
22733,8270,ND-2000.6400,
22734,5625,BD-1800.2000-640,
22735,6025,DT-8800.9300-930,
22736,6028,DT-8800.9300-930,
22737,6027,DT-8800.9300-930,
22749,126,PH-1000,
22753,126,RP-1400.8000-155,
22989,8336,FC-8200.8100-920,
22760,8273,PH-6100.6800,
22791,857,PX,
22768,473,TJ-3000.8000,
22769,473,BH-8600,
22770,1080,FT-3600.3300,
22771,1080,ND-3500.3600,
22772,1080,ND-6500.3300,
22773,1080,PH-1450.3300,
22786,2475,PH-1250.1800,
22787,2475,PL-6400.1500-820,
22790,858,PL-6400.1500-820,
22795,3610,PX,
11572,5040,PL-6400.1500-820,
